COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A15UP_M1_CNT,A15UP_M2_CNT,A15UP_M3_CNT,A15UP_M4_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,未婚人口數,有偶人口數,離婚人口數,喪偶人口數,資料時間
10014,臺東縣,10014010,臺東市,10014010-013,民族里,1371,813,121,88,105Y
10014,臺東縣,10014010,臺東市,10014010-018,民權里,414,436,84,64,105Y
10014,臺東縣,10014010,臺東市,10014010-034,永樂里,1235,1038,182,136,105Y
10014,臺東縣,10014010,臺東市,10014010-032,光明里,1748,1295,283,169,105Y
10014,臺東縣,10014010,臺東市,10014010-022,成功里,414,315,122,88,105Y
10014,臺東縣,10014010,臺東市,10014010-012,自強里,2637,2110,315,278,105Y
10014,臺東縣,10014010,臺東市,10014010-005,卑南里,1237,1490,175,197,105Y
10014,臺東縣,10014010,臺東市,10014010-003,岩灣里,963,940,243,148,105Y
10014,臺東縣,10014010,臺東市,10014010-036,東海里,1770,1422,277,221,105Y
10014,臺東縣,10014010,臺東市,10014010-045,知本里,656,587,163,122,105Y
10014,臺東縣,10014010,臺東市,10014010-004,南王里,1290,1197,287,244,105Y
10014,臺東縣,10014010,臺東市,10014010-006,南榮里,1365,1189,351,206,105Y
10014,臺東縣,10014010,臺東市,10014010-042,建和里,662,645,154,152,105Y
10014,臺東縣,10014010,臺東市,10014010-017,建國里,605,538,190,153,105Y
10014,臺東縣,10014010,臺東市,10014010-044,建業里,641,547,130,157,105Y
10014,臺東縣,10014010,臺東市,10014010-046,建農里,997,802,300,214,105Y
10014,臺東縣,10014010,臺東市,10014010-043,建興里,458,449,107,84,105Y
10014,臺東縣,10014010,臺東市,10014010-010,馬蘭里,2168,1297,255,218,105Y
10014,臺東縣,10014010,臺東市,10014010-035,康樂里,693,674,131,99,105Y
10014,臺東縣,10014010,臺東市,10014010-016,強國里,309,289,71,62,105Y
10014,臺東縣,10014010,臺東市,10014010-001,富岡里,639,674,201,170,105Y
10014,臺東縣,10014010,臺東市,10014010-002,富豐里,380,423,114,76,105Y
10014,臺東縣,10014010,臺東市,10014010-025,復國里,328,243,87,64,105Y
10014,臺東縣,10014010,臺東市,10014010-027,復興里,219,184,68,41,105Y
10014,臺東縣,10014010,臺東市,10014010-007,新生里,3308,3168,705,422,105Y
10014,臺東縣,10014010,臺東市,10014010-029,新園里,854,655,221,147,105Y
10014,臺東縣,10014010,臺東市,10014010-037,新興里,491,446,128,100,105Y
10014,臺東縣,10014010,臺東市,10014010-026,興國里,562,402,88,64,105Y
10014,臺東縣,10014010,臺東市,10014010-030,豐田里,1016,959,213,201,105Y
10014,臺東縣,10014010,臺東市,10014010-031,豐年里,1404,1253,329,250,105Y
10014,臺東縣,10014010,臺東市,10014010-039,豐谷里,2692,2341,538,387,105Y
10014,臺東縣,10014010,臺東市,10014010-040,豐里里,1230,1154,209,218,105Y
10014,臺東縣,10014010,臺東市,10014010-041,豐原里,614,601,111,108,105Y
10014,臺東縣,10014010,臺東市,10014010-038,豐榮里,4228,3891,759,542,105Y
10014,臺東縣,10014010,臺東市,10014010-033,豐樂里,832,717,145,105,105Y
10014,臺東縣,10014010,臺東市,10014010-009,寶桑里,447,379,113,88,105Y
10014,臺東縣,10014010,臺東市,10014010-028,鐵花里,151,205,45,40,105Y
10014,臺東縣,10014030,關山鎮,10014030-004,中福里,430,421,66,72,105Y
10014,臺東縣,10014030,關山鎮,10014030-007,月眉里,321,333,79,96,105Y
10014,臺東縣,10014030,關山鎮,10014030-005,里里,885,790,182,168,105Y
10014,臺東縣,10014030,關山鎮,10014030-003,新福里,455,412,101,85,105Y
10014,臺東縣,10014030,關山鎮,10014030-006,電光里,258,254,60,68,105Y
10014,臺東縣,10014030,關山鎮,10014030-001,德高里,737,792,176,198,105Y
10014,臺東縣,10014030,關山鎮,10014030-002,豐泉里,610,535,123,104,105Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-001,東清村,732,595,102,75,105Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-003,紅頭村,715,604,120,67,105Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-002,朗島村,500,330,55,39,105Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-004,椰油村,583,435,70,61,105Y
10014,臺東縣,10014100,大武鄉,10014100-001,大竹村,358,339,110,89,106Y
10014,臺東縣,10014100,大武鄉,10014100-003,大武村,650,609,180,131,106Y
10014,臺東縣,10014100,大武鄉,10014100-002,大鳥村,603,456,163,106,106Y
10014,臺東縣,10014100,大武鄉,10014100-004,尚武村,600,682,225,172,106Y
10014,臺東縣,10014100,大武鄉,10014100-005,南興村,269,237,79,59,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-002,三和村,251,305,70,70,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-006,大王村,834,839,225,194,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-004,北里村,264,239,81,55,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-009,多良村,430,373,135,119,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-008,金崙村,868,666,268,173,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-001,美和村,617,587,178,116,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-007,香蘭村,330,385,94,90,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-005,泰和村,649,715,127,142,106Y
10014,臺東縣,10014090,太麻里鄉,10014090-003,華源村,218,322,55,79,106Y
10014,臺東縣,10014020,成功鎮,10014020-003,三仙里,621,637,196,142,106Y
