COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
10014,臺東縣,10014100,大武鄉,10014100-005,南興村,96.94,2.29,77.74,29.84,11.09,18.75,169.09,106Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-002,三和村,114.15,2.54,94.91,40.61,13.13,27.47,209.23,106Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-006,大王村,116.12,2.35,195.46,44.78,17.51,27.27,155.73,106Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-004,北里村,136.67,2.14,219.4,38.31,13.42,24.89,185.48,106Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-009,多良村,110.56,2.25,49.15,35.86,17.1,18.77,109.77,106Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-008,金崙村,112.37,2.37,90.27,33.72,16.11,17.6,109.24,106Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-001,美和村,108.93,2.77,120.09,37.31,14.48,22.82,157.59,106Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-007,香蘭村,127.59,2.38,96.6,45.23,13.89,31.34,225.58,106Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-005,泰和村,103.11,2.37,488.39,43.12,15.07,28.05,186.05,106Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-003,華源村,127.7,2.2,52.53,53.18,8.86,44.32,500,106Y12M
10014,臺東縣,10014020,成功鎮,10014020-003,三仙里,122.91,2.53,49.98,36.53,12.92,23.61,182.78,106Y12M
10014,臺東縣,10014020,成功鎮,10014020-004,三民里,107.65,2.8,295.27,34.82,12.29,22.53,183.28,106Y12M
10014,臺東縣,10014020,成功鎮,10014020-007,和平里,122.19,2.33,66.38,43.52,9.5,34.02,358.18,106Y12M
10014,臺東縣,10014020,成功鎮,10014020-006,忠仁里,109.1,2.82,327.96,40.68,16.58,24.11,145.42,106Y12M
10014,臺東縣,10014020,成功鎮,10014020-002,忠孝里,100.93,2.26,27.57,45.42,12.4,33.02,266.3,106Y12M
10014,臺東縣,10014020,成功鎮,10014020-005,忠智里,107.36,2.94,6083.85,45.23,18.7,26.53,141.84,106Y12M
10014,臺東縣,10014020,成功鎮,10014020-008,信義里,113.86,2.58,87.71,39.19,10.61,28.58,269.48,106Y12M
10014,臺東縣,10014020,成功鎮,10014020-001,博愛里,125.41,2.15,38.06,45.63,7.46,38.17,511.43,106Y12M
10014,臺東縣,10014060,池上鄉,10014060-003,大坡村,120.36,2.52,41.74,46.61,13.55,33.07,244.12,106Y12M
10014,臺東縣,10014060,池上鄉,10014060-004,大埔村,98.43,2.65,494.99,44.05,12.07,31.97,264.86,106Y12M
