COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A15UP_M1_CNT,A15UP_M2_CNT,A15UP_M5_CNT,A15UP_M3_CNT,A15UP_M6_CNT,A15UP_M4_CNT,A15UP_M7_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,未婚人口數,有偶(不同性別)人口數,有偶(相同性別)人口數,離婚(不同性別)人口數,離婚(相同性別)人口數,喪偶(不同性別)人口數,喪偶(相同性別)人口數,資料時間
10014,臺東縣,10014020,成功鎮,10014020-001,博愛里,172,263,0,98,0,78,0,109Y
10014,臺東縣,10014020,成功鎮,10014020-002,忠孝里,283,370,1,157,0,131,0,109Y
10014,臺東縣,10014020,成功鎮,10014020-003,三仙里,428,596,0,200,0,139,0,109Y
10014,臺東縣,10014020,成功鎮,10014020-004,三民里,906,1237,0,308,0,262,0,109Y
10014,臺東縣,10014020,成功鎮,10014020-005,忠智里,601,905,0,185,0,189,0,109Y
10014,臺東縣,10014020,成功鎮,10014020-006,忠仁里,690,1034,0,234,0,218,0,109Y
10014,臺東縣,10014020,成功鎮,10014020-007,和平里,206,323,0,120,0,80,0,109Y
10014,臺東縣,10014020,成功鎮,10014020-008,信義里,588,763,1,243,0,209,0,109Y
10014,臺東縣,10014030,關山鎮,10014030-001,德高里,543,768,1,198,0,203,0,109Y
10014,臺東縣,10014030,關山鎮,10014030-002,豐泉里,396,505,0,142,0,112,0,109Y
10014,臺東縣,10014030,關山鎮,10014030-003,新福里,302,406,0,107,0,83,0,109Y
10014,臺東縣,10014030,關山鎮,10014030-004,中福里,265,393,0,70,0,61,0,109Y
10014,臺東縣,10014030,關山鎮,10014030-005,里壠里,581,713,0,185,0,178,0,109Y
10014,臺東縣,10014030,關山鎮,10014030-006,電光里,169,231,0,73,0,66,0,109Y
10014,臺東縣,10014030,關山鎮,10014030-007,月眉里,231,321,0,80,0,77,0,109Y
10014,臺東縣,10014040,卑南鄉,10014040-001,嘉豐村,159,177,0,87,0,55,0,109Y
10014,臺東縣,10014040,卑南鄉,10014040-002,利吉村,133,191,0,68,0,58,0,109Y
10014,臺東縣,10014040,卑南鄉,10014040-003,富山村,162,173,0,92,0,61,0,109Y
10014,臺東縣,10014040,卑南鄉,10014040-004,富源村,90,151,0,48,0,48,0,109Y
10014,臺東縣,10014040,卑南鄉,10014040-005,明峰村,374,499,3,159,0,136,0,109Y
10014,臺東縣,10014040,卑南鄉,10014040-006,初鹿村,436,527,1,166,0,149,0,109Y
10014,臺東縣,10014040,卑南鄉,10014040-007,美農村,377,469,0,129,0,105,0,109Y
10014,臺東縣,10014040,卑南鄉,10014040-008,賓朗村,804,952,0,265,0,256,0,109Y
10014,臺東縣,10014040,卑南鄉,10014040-009,泰安村,439,423,0,177,2,106,0,109Y
10014,臺東縣,10014040,卑南鄉,10014040-010,太平村,1078,1350,4,435,2,272,0,109Y
10014,臺東縣,10014040,卑南鄉,10014040-011,利嘉村,426,442,1,159,1,101,0,109Y
10014,臺東縣,10014040,卑南鄉,10014040-012,東興村,455,458,0,154,0,105,0,109Y
10014,臺東縣,10014040,卑南鄉,10014040-013,溫泉村,311,507,0,171,0,105,0,109Y
10014,臺東縣,10014050,鹿野鄉,10014050-001,瑞和村,239,262,0,91,0,69,0,109Y
10014,臺東縣,10014050,鹿野鄉,10014050-002,瑞豐村,279,391,1,104,0,119,0,109Y
10014,臺東縣,10014050,鹿野鄉,10014050-003,瑞源村,265,419,0,110,0,81,0,109Y
10014,臺東縣,10014050,鹿野鄉,10014050-004,永安村,479,646,0,199,0,146,0,109Y
10014,臺東縣,10014050,鹿野鄉,10014050-005,瑞隆村,282,431,1,95,0,89,0,109Y
10014,臺東縣,10014050,鹿野鄉,10014050-006,鹿野村,363,460,1,150,0,106,0,109Y
10014,臺東縣,10014050,鹿野鄉,10014050-007,龍田村,289,547,0,107,0,118,0,109Y
10014,臺東縣,10014060,池上鄉,10014060-001,福文村,374,450,1,162,0,154,0,109Y
10014,臺東縣,10014060,池上鄉,10014060-002,慶豐村,204,298,0,85,0,87,0,109Y
10014,臺東縣,10014060,池上鄉,10014060-003,大坡村,99,142,0,41,0,44,0,109Y
10014,臺東縣,10014060,池上鄉,10014060-004,大埔村,256,379,0,87,0,79,0,109Y
10014,臺東縣,10014060,池上鄉,10014060-005,福原村,643,921,3,198,0,203,0,109Y
10014,臺東縣,10014060,池上鄉,10014060-006,錦園村,87,176,0,40,0,46,0,109Y
10014,臺東縣,10014060,池上鄉,10014060-007,新興村,264,393,1,98,0,90,0,109Y
10014,臺東縣,10014060,池上鄉,10014060-008,萬安村,87,143,0,30,0,46,0,109Y
10014,臺東縣,10014060,池上鄉,10014060-009,富興村,127,174,0,55,0,43,0,109Y
10014,臺東縣,10014060,池上鄉,10014060-010,振興村,139,169,1,70,0,62,0,109Y
10014,臺東縣,10014070,東河鄉,10014070-001,北源村,545,597,3,232,0,200,0,109Y
10014,臺東縣,10014070,東河鄉,10014070-002,泰源村,346,516,1,132,0,170,0,109Y
10014,臺東縣,10014070,東河鄉,10014070-003,東河村,353,397,4,123,0,109,0,109Y
10014,臺東縣,10014070,東河鄉,10014070-004,尚德村,75,100,0,43,0,38,0,109Y
10014,臺東縣,10014070,東河鄉,10014070-005,隆昌村,163,220,0,76,0,75,0,109Y
10014,臺東縣,10014070,東河鄉,10014070-006,興昌村,243,410,0,135,0,121,0,109Y
10014,臺東縣,10014070,東河鄉,10014070-007,都蘭村,654,919,1,282,0,262,0,109Y
10014,臺東縣,10014080,長濱鄉,10014080-001,樟原村,187,236,0,83,0,99,0,109Y
10014,臺東縣,10014080,長濱鄉,10014080-002,三間村,358,494,0,153,0,173,0,109Y
10014,臺東縣,10014080,長濱鄉,10014080-003,忠勇村,173,230,2,76,0,63,0,109Y
10014,臺東縣,10014080,長濱鄉,10014080-004,長濱村,662,827,0,263,0,232,0,109Y
10014,臺東縣,10014080,長濱鄉,10014080-005,竹湖村,286,382,0,103,0,127,0,109Y
10014,臺東縣,10014080,長濱鄉,10014080-006,寧埔村,375,509,0,133,0,160,0,109Y
10014,臺東縣,10014090,太麻里鄉,10014090-001,美和村,464,564,0,169,0,127,0,109Y
10014,臺東縣,10014090,太麻里鄉,10014090-002,三和村,180,262,0,85,0,70,0,109Y
10014,臺東縣,10014090,太麻里鄉,10014090-003,華源村,175,299,0,46,0,85,0,109Y
10014,臺東縣,10014090,太麻里鄉,10014090-004,北里村,194,263,0,80,0,58,0,109Y
10014,臺東縣,10014090,太麻里鄉,10014090-005,泰和村,458,676,0,129,0,146,0,109Y
10014,臺東縣,10014090,太麻里鄉,10014090-006,大王村,567,832,0,220,0,180,0,109Y
10014,臺東縣,10014090,太麻里鄉,10014090-007,香蘭村,249,387,0,100,0,85,0,109Y
10014,臺東縣,10014090,太麻里鄉,10014090-008,金崙村,621,682,1,275,0,174,0,109Y
10014,臺東縣,10014090,太麻里鄉,10014090-009,多良村,297,356,3,143,0,124,0,109Y
10014,臺東縣,10014100,大武鄉,10014100-001,大竹村,229,307,0,122,0,91,0,109Y
10014,臺東縣,10014100,大武鄉,10014100-002,大鳥村,405,403,0,173,2,123,0,109Y
