COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,NATURE_INC_CNT,SOCIAL_INC_CNT,INC_CNT,ENTRY_P_CNT,EXIT_P_CNT,ENTRY_ADDR_CNT,EXIT_ADDR_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,自然增加人數,社會增加人數,總增加人數,遷入人口數,遷出人口數,鄉鎮區內住址變更之遷入人口數,鄉鎮區內住址變更之遷出人口數,資料時間
10014,臺東縣,10014070,東河鄉,10014070-005,隆昌村,-11,15,4,25,12,10,8,105Y
10014,臺東縣,10014070,東河鄉,10014070-006,興昌村,-19,12,-7,38,30,13,9,105Y
10014,臺東縣,10014140,金峰鄉,10014140-002,正興村,-1,15,14,40,30,18,13,105Y
10014,臺東縣,10014140,金峰鄉,10014140-001,新興村,5,5,10,32,26,8,9,105Y
10014,臺東縣,10014140,金峰鄉,10014140-003,嘉蘭村,3,0,3,62,58,17,21,105Y
10014,臺東縣,10014140,金峰鄉,10014140-004,賓茂村,-2,8,6,26,18,5,5,105Y
10014,臺東縣,10014140,金峰鄉,10014140-005,歷坵村,0,-7,-7,11,18,8,8,105Y
10014,臺東縣,10014080,長濱鄉,10014080-002,三間村,-22,-26,-48,26,50,12,14,105Y
10014,臺東縣,10014080,長濱鄉,10014080-005,竹湖村,-12,-9,-21,24,31,11,13,105Y
10014,臺東縣,10014080,長濱鄉,10014080-003,忠勇村,-16,-12,-28,13,18,4,11,105Y
10014,臺東縣,10014080,長濱鄉,10014080-004,長濱村,-28,22,-6,77,70,54,39,105Y
10014,臺東縣,10014080,長濱鄉,10014080-006,寧埔村,-23,-23,-46,40,64,7,6,105Y
10014,臺東縣,10014080,長濱鄉,10014080-001,樟原村,-13,-18,-31,16,29,5,10,105Y
10014,臺東縣,10014120,海端鄉,10014120-006,加拿村,-2,-21,-23,20,39,10,12,105Y
10014,臺東縣,10014120,海端鄉,10014120-003,利稻村,5,3,8,11,9,3,2,105Y
